channel,layer_thickness_um,ambient_temp,resin_temp,resin_age,channel_length_um,channel_width_um,channel_height_um,delta_length_um,delta_width_um,delta_height_um,dim_error,flow_rate,perfect nominal flow rate
74,50,79,86,31,40000,500,500,9.678,13.962,12.913,0.0004822635306,0.12426636,0.1387
75,50,79,86,31,40000,500,500,9.253,13.921,6.858,0.0003211197104,0.12741018,0.1387
76,50,79,86,31,40000,500,500,14.582,14.039,9.29,0.0003779077936,0.12610128,0.1387
77,100,79,90,31,40000,500,500,4.982,11.646,11.294,0.0003509168402,0.12630252,0.1387
78,100,79,90,31,40000,500,500,7.64,9.239,14.761,0.000404340483,0.1257366,0.1387
79,100,79,90,31,40000,500,500,8.342,8.303,8.539,0.0001891536044,0.12953154,0.1387
80,100,79.2,70,1,39940,485,485,8.825551586,5.951315687,3.045506324,0.001020450769,0.1337343,
81,100,80.5,70.6,7,40024.92321,506.2298741,506.2310462,7.548089919,17.54037582,13.21977968,0.0002357560227,0.12227598,
82,100,81.3,69.3,13,40032.59283,510,493.4291026,14.29383526,24.18898331,9.115779092,0.0005966018496,0.12086352,
83,100,81.5,69.8,19,39999.85,499.2740429,505.4312393,13.95283848,13.8979226,5.892324475,0.0002854687122,0.12793668,
84,100,84.4,70.2,25,39964.79153,503.5200758,503.9264684,18.52824069,12.35065186,13.01874235,0.000214799617,0.12511146,
85,100,86.1,69.4,31,40042.8549,491.9817993,503.0698417,5.018051594,14.05638193,9.406419372,0.0007035508061,0.12604548,
86,100,87.8,69.1,37,40036.44575,502.4592228,505.3192729,16.03183902,9.274351846,5.802696617,0.00006232639576,0.13053348,
87,100,87.3,69.7,43,40003.48547,502.3493649,510,15.34219988,16.26837592,10.79875781,0.0002591984641,0.12418086,
88,100,86.4,69.6,49,40055,502.7558983,500.206176,8.73581977,29.6823338,10.1374278,0.001098662832,0.11753406,
89,100,86,70.9,55,40001.81715,503.1406206,504.4888925,11.31369669,3.635238315,12.465643,0.00008518304959,0.12988656,
90,100,80.7,70,1,40013.2876,503.000255,506.3707139,7.641595511,14.17518237,10.44814055,0.0001886791868,0.12542154,
91,100,81.9,70.4,7,39994.55499,505.2589001,503.2939315,13.0975158,7.280779665,9.725629934,0.00006067795321,0.12943842,
92,100,81.6,69.9,13,39995.84527,506.76607,505.977365,13.72183448,14.60846019,-0.6901113269,0.0001413443434,0.1309647,
93,100,80.8,69.6,19,39982.83976,507.7862645,502.2605048,7.998719564,2.888830699,4.464011261,0.00003858560085,0.13464372,
94,100,78.9,69.3,25,40001.12039,508.4582867,503.8439606,24.23159743,14.06775449,14.54540419,0.0001947606433,0.1234452,
95,100,78.8,70.4,31,39971.76762,506.173019,500.7882779,3.366960811,13.52757494,4.140557334,0.00008731105094,0.12905268,
96,100,80.7,70.3,37,39987.43236,505.9356487,503.0233156,4.059572207,13.30028876,2.552899709,0.0000726698817,0.13000068,
97,100,82.4,70,43,39970.59307,508.4055668,503.6915745,17.12997491,17.89223153,10.41188431,0.0001806636814,0.12354024,
98,100,83.1,70.2,49,39988.19513,505.8584312,502.1480665,2.354023882,15.86024851,5.446511339,0.0001479298833,0.12711684,
99,100,83,69.7,55,40000.21388,505.8855228,504.080469,6.703117578,9.397887613,16.28353701,0.000215010874,0.12502092,
100,50,78.6,69.4,1,39983.19973,506.3356994,503.3882719,5.892719198,4.553131413,10.36635583,0.00006926889072,0.13052988,
101,50,79.9,70.4,7,39969.16158,510,501.0371134,11.93375299,23.35461367,10.32094917,0.0003530948881,0.12071154,
102,50,78.9,69.9,13,39989.99942,504.256951,504.582897,4.531884685,12.1401577,1.858090794,0.00009280335431,0.13100574,
103,50,79.8,69.3,19,39981.05109,504.4549996,502.5470937,15.07833458,16.64207311,11.49780513,0.0003050945474,0.1236294,
104,50,79,69.9,25,40010.32722,505.1679204,505.417388,20.17903672,2.214206452,12.21286258,0.00007322408786,0.13083138,
105,50,79.6,69.6,31,39982.47165,505.9881899,506.1385474,6.070007666,2.500684296,17.46208558,0.0001872962996,0.12794262,
106,50,78.3,70.4,37,40010.79397,509.9869577,506.7312328,9.063632554,16.46547618,6.809667287,0.00005597042872,0.1260816,
107,50,75.3,69.2,43,40046.60986,510,510,12.40559586,14.74711264,7.190725105,0.00004081320763,0.12680904,
108,50,76.3,70.3,49,40029.14496,507.5858615,510,7.642163822,17.81810471,-5.449825649,0.0004579575446,0.13164402,
109,50,79.1,69.6,55,40016.60846,510,505.0382963,9.560648741,23.27991396,14.15620341,0.0003460001416,0.1188774,
110,50,78.5,70.7,1,40055,509.690147,507.5524581,7.820121701,14.44083559,6.70578684,0.00003151159697,0.1272093,
111,50,78.1,69.1,7,40055,505.3749725,508.9396224,4.624791859,1.590983828,8.975388101,0.00001962181194,0.1328745,
112,50,77.4,69.1,13,40055,501.3095841,510,-6.261079097,5.144846375,17.74025741,0.0001002762872,0.12642528,
113,50,79,69.8,19,40055,510,510,8.881674098,19.72443783,6.252171224,0.000145257653,0.12464454,
114,50,79.4,70,25,40055,505.1116049,507.7520628,2.717075646,19.51916097,-3.295683265,0.000440076636,0.12957228,
115,50,79.1,69.2,31,39945.87296,510,509.6954274,4.425030569,1.804102365,5.882397397,0.0001096634859,0.13445646,
116,50,78.6,69.8,37,39940,496.7045011,507.5871637,14.10136196,2.175099938,6.383278483,0.00004297968222,0.13398858,
117,50,77.9,70.1,43,39940,487.9648239,510,16.02415549,7.129810788,-5.329062086,0.0008042399185,0.13733334,
118,50,80.4,69.9,49,39940,502.8616697,504.2282701,1.507664935,18.1150664,12.39192456,0.0003998699834,0.12238884,
119,50,78.4,70.4,55,39940,495.9135003,503.920967,6.717419932,19.4489203,7.67255908,0.0007582479219,0.1240716,
120,100,81,69.8,1,39951.29817,504.4479822,509.8269772,-1.543912014,1.84683994,13.08448638,0.00002363304925,0.1305111,
121,100,80.1,69.8,7,39940,503.3918302,510,3.652479784,8.491664573,12.53973017,0.00004412214484,0.12728208,
122,100,78.5,70.7,13,39959.17005,504.1854028,508.1896262,18.94342704,11.07812516,-2.416623208,0.0002140805432,0.13393056,
123,100,78.6,69.4,19,39940,506.7989473,510,5.971874861,13.35894072,12.99346325,0.00007023250728,0.1245297,
124,100,77.6,69.5,25,39940,505.6893719,508.1584197,9.283515992,1.335656344,18.40368841,0.000166227203,0.12803136,
125,100,75.8,69.7,31,39940,500.0561185,509.0348026,21.13200841,5.08881116,13.14252153,0.00005763980153,0.12884406,
126,100,76.5,69.3,37,39954.96325,501.4750917,510,1.908877025,-1.81563515,7.316659291,0.00002449807848,0.13564314,
127,100,76.6,70.7,43,39962.40825,499.0769694,508.8345026,3.323070613,14.87886163,20.14467939,0.0005038419497,0.1202193,
128,100,79.3,69.4,49,39944.75201,502.9258855,510,20.11354822,15.09971886,11.47882298,0.0002017020489,0.12448752,
129,100,78.2,69.6,55,39957.86969,510,510,11.78213555,24.7730073,4.797533969,0.0003276820615,0,
130,100,77.9,70.7,61,39989.66649,510,500.7711647,14.76929799,22.25685485,16.79014422,0.0005425822086,0,
131,100,78.3,70.5,67,39966.57651,499.9453145,494.5886547,15.69482864,13.97600093,23.10460357,0.001347195292,0,
132,100,77.6,70.3,73,40055,510,508.5828215,11.86393355,13.7909891,7.252967022,0.00002190779826,0.12728598,
133,100,77.2,70.6,79,40055,506.8357065,510,12.23400524,-5.027826466,7.258626881,0.000198059082,0.13741884,
134,100,75,70,85,39987.38685,509.2907619,505.095727,9.08542754,4.187783245,10.87176494,0.0000793020968,0.13045548,
135,100,73.8,70.5,91,39996.62132,510,507.3151904,16.66734201,7.87145269,7.825913723,0.000006472453186,0.1302111,
136,100,72.7,69.3,97,40000.35756,506.7225893,506.8062982,4.154803074,14.70358329,10.24661278,0.0001007123775,0.12526932,
137,100,73.1,69.5,103,39993.89408,510,509.0107537,13.79051219,17.8944006,19.53776749,0.0002309352456,0.11905638,
138,100,71.1,70.5,109,39940,502.1896148,509.4111734,3.182642268,9.143061115,10.70439191,0.00006752878184,0.12796548,
139,100,72.5,70,115,39998.51049,510,506.3286168,10.48905404,15.08601154,13.45112604,0.0001021600942,0.1234134,
140,100,72.2,70.7,121,40045.39967,510,507.4882786,18.58503216,18.01506784,3.265605859,0.0001095794999,0.12712746,
141,100,70.9,70.5,127,39997.25494,506.2996292,505.6189274,13.81204312,6.377986444,17.92739838,0.0002020632413,0.12571584,
142,100,70.3,71,133,40017.25598,501.1566296,504.6899839,9.194950109,11.24568046,19.22006157,0.0004172296791,0.12255096,
143,100,70.4,71,139,39940,505.8835487,510,11.47080827,6.951802162,5.637653355,0.00002795916099,0.13180158,
144,100,69.1,69.5,145,39962.62903,508.6299561,506.8012907,16.11640467,6.881565946,9.573131206,0.00001491597769,0.12979698,
145,100,70.2,69.9,151,39966.77496,510,507.2491774,10.90653952,7.61712514,11.217742,0.00002897587906,0.12845784,
146,100,68.7,70.2,157,39971.36077,510,506.8014717,16.06366353,18.23776752,2.484781491,0.0001157424937,0.1273851,
147,100,71.6,70.2,163,39977.67326,510,507.1086118,9.390995208,1.89038351,15.8812118,0.0001905087744,0.12912294,
148,100,73,69.3,169,39940,504.3528353,509.0222704,7.166831033,5.131110503,8.667953479,0.000001914875227,0.13114254,
149,100,72.5,69.5,175,39940,504.6622833,509.2416565,19.91860594,20.4552133,17.64954325,0.0004281428843,0,
150,100,81.7,70.6,1,39977.51692,509.1845319,505.8876551,12.12022989,0.6423662445,9.29122827,0.0001129866609,0.1332096,
151,100,83.2,69.9,1,39940,501.4212162,508.267824,10.19011738,8.466960427,-1.404772241,0.0001919618929,0.13475322,
152,100,82,70.9,7,40055,510,508.8450969,4.872247039,16.35429401,19.47652281,0.0002050625246,0.11982444,
153,100,81.6,70.6,13,39940,510,507.365075,10.60373435,5.696459718,5.452623538,0.00003060909109,0.13258152,
154,100,81.5,70.7,19,40055,506.9012099,501.7603714,13.23229268,11.76438262,6.557376292,0.00006257905209,0.1287321,
155,100,81,70.9,25,39940,495.5488199,508.7870234,12.3975577,5.698731023,7.618633454,0.0001402730669,0.1314138,
156,100,80.5,69.9,31,39940,508.6979467,507.2815376,11.83523928,18.00961632,14.3129547,0.0001826057534,0.12146982,
157,100,80.3,70.5,37,39940,507.1637985,501.1446356,-11.64940716,13.38380883,10.0543038,0.0001579146573,0.12604308,
158,100,79.4,69.3,43,40055,506.9927941,503.1012498,-3.891670399,3.649033153,7.337493657,0.00003955787991,0.1327026,
159,100,78.9,70.4,49,40055,496.3105374,509.4692981,19.22389591,2.518010847,13.82011311,0.00007688307661,0.12980094,
160,100,79.8,70.8,55,40055,494.7680514,510,7.425019924,-0.2532815431,17.35665692,0.0001056815728,0.12944142,
161,100,78.7,70.7,1,39940,506.7906233,502.8679102,10.54722665,20.15611791,6.781702701,0.0002596424787,0.12413394,
162,100,80.2,69.7,7,39940,505.449189,510,14.12968373,27.70294839,7.505542308,0.0006697476731,0.11982294,
163,100,79.9,69.6,13,40055,506.649009,498.3593041,14.92664448,4.717029122,3.632744433,0.00004239018211,0.13417152,
164,100,81.4,69.2,19,39940,496.2292085,510,11.62837951,2.521296778,12.46840819,0.00006198009943,0.13046628,
165,100,83.5,69,25,40055,509.1246527,506.9388065,8.315141011,12.4083861,1.221080355,0.00005842111968,0.13116006,
166,100,81.6,69.3,31,39940,506.5393158,496.944608,16.92317687,11.33107945,8.571592789,0.0002120964449,0.12796782,
167,100,82.1,70.4,37,39940,505.4627562,490.9786229,9.480114327,6.607734126,12.85896972,0.0006410864614,0.12811074,
168,100,83.1,70.6,43,40055,507.1280564,499.8123353,10.46304263,1.809002461,-0.4342705965,0.00003821743709,0.13794204,
169,100,82.1,70.4,49,40014.48844,507.6802673,498.4708967,10.31999258,5.020325535,12.28719475,0.0002639574638,0.12925824,
170,100,81.5,69,55,40049.74729,493.5971864,485,15.436573,17.02450149,16.36455307,0.002043677633,0.1211253,
171,50,80.4,69.4,1,40055,496.0443358,510,11.69310861,10.67958066,10.54465605,0.0002863734481,0.12721134,
172,50,78.8,70.2,7,40055,506.6382403,500.6075082,5.61105501,1.860649166,-0.9835105532,0.00003431713762,0.13820442,
173,50,81.3,70.2,13,40055,502.6354338,508.2550634,16.61398635,21.308894,5.011548341,0.000479264983,0.1244547,
174,50,80.7,69.6,19,39940,494.0466455,510,8.89692373,14.20291785,7.172576944,0.0005533484297,0.12709632,
175,50,81.7,70.7,25,39940,509.4444172,507.6795503,20.40471833,18.8596378,19.24564811,0.0002979081892,0,
176,50,82.2,69.9,31,40055,507.326283,502.2232137,10.18532947,12.60691833,2.737962689,0.00003795184148,0.13026474,
177,50,83.5,70.8,37,40055,506.1570757,499.2395225,14.73764251,23.00980316,3.201156994,0.0003999496798,0.12445284,
178,50,85.5,70.1,43,39940,500.590792,510,18.06669103,24.66133246,20.40039318,0.000918015133,0,
179,50,84.7,70.9,49,40055,510,503.3298438,12.79016438,14.22794196,5.33994869,0.00002959253471,0.1280376,
180,50,84.9,69.2,55,40055,510,500.9562587,5.931396211,11.87406034,6.417288384,0.0000449482065,0.12872874,
181,50,79.4,70.2,1,40055,510,503.5353977,3.844534266,6.46282116,14.35541949,0.0001733245258,0.12737496,
182,50,79.8,69,7,40055,510,499.9613955,7.167515338,10.99553682,23.91100574,0.0007665765537,0.12020004,
183,50,79.9,70.1,13,40055,508.1488629,504.5875313,9.384057479,12.18726597,13.84843276,0.0001365308301,0.12469488,
184,50,80.4,70.9,19,40055,510,505.9681873,4.799622595,18.91671751,5.710534979,0.0001066239974,0.12532878,
185,50,80,69.7,25,39940,485,494.6929408,6.836978801,19.75948169,19.02865369,0.00240152865,0.11834898,
186,50,81.6,69.1,31,39940,507.1992123,503.5592798,16.49367022,12.17094724,10.73901129,0.0001029079411,0.1263861,
187,50,82.3,70.3,37,40055,510,506.6096961,20.84457451,13.21490655,2.064139963,0.00004157331382,0.13039632,
188,50,83,70.5,43,39940,510,506.0005604,18.09879463,15.68765949,7.390187721,0.00004697809203,0.12627456,
189,50,81.6,69.5,49,40055,508.5521885,505.8307873,5.614658666,1.73934746,13.46586057,0.000140120303,0.1303155,
190,50,80.6,70.5,55,40055,510,506.6010373,6.451997936,9.627798471,19.73045762,0.0002305179717,0.12304842,
191,100,79.5,70.3,1,40055,508.0135177,505.2391513,7.125146293,14.04686443,14.54039312,0.0001643633299,0.12337662,
192,100,81.9,70.7,7,40055,510,505.8612511,6.844110737,13.26453691,10.07582289,0.00003837621163,0.12609126,
193,100,80.8,70,13,40055,498.7675821,510,0.8020111926,9.31184892,6.392193705,0.0001662090674,0.13015086,
194,100,79.7,70,19,40055,510,504.5349618,15.85719028,12.5763736,2.497327965,0.00001470540318,0.13047036,
195,100,80.8,69.5,25,39940,510,505.5559164,3.898401006,9.414677226,9.239176654,0.00001939597152,0.12855432,
196,100,80,70.2,31,40055,510,485,3.755133451,11.04989498,16.89935618,0.001358775363,0.12384294,
197,100,80.4,70.7,37,40055,510,505.3375494,2.977231474,8.707450593,5.726111247,0.000002992712458,0.13084032,
198,100,80.6,70.5,43,40055,507.5486822,504.589183,7.807685168,8.273311801,10.8209125,0.00005294336921,0.12832338,
199,100,80.8,70.1,49,40055,510,506.3724171,6.835907267,15.11560856,11.81389964,0.00007485553184,0.12422406,
200,100,80,70.5,55,40055,508.16442,505.8713842,2.129622636,6.93946045,9.557937503,0.00002070395065,0.12973488,
201,100,81.5,70.6,61,39940,496.718725,510,11.32923091,17.9211078,7.0645675,0.0006119370405,0.12517188,
202,100,81.1,69.1,67,40055,510,505.5353688,9.905390952,8.824222931,16.31486279,0.0001571969073,0.1253064,
203,100,84,69.2,73,40055,510,505.7468503,14.63780749,12.11325779,7.709288475,0.00001142876022,0.1279824,
204,100,84.1,69.7,79,40055,506.8328837,506.1420376,10.58184732,14.09728812,10.47523172,0.00009580856036,0.12545058,
205,100,86.9,69.3,85,40055,510,506.1202835,9.609942999,4.079212623,5.561399869,0.00004758665233,0.1333971,
206,100,87.9,71,91,40055,510,506.3314181,13.38345959,8.606419594,25.24448042,0.0004798888127,0.12070818,
207,100,87.4,69.7,97,39940,510,502.7840178,7.644905469,16.84245259,9.832365665,0.000129617786,0.12434274,
208,100,88,69.3,103,40055,508.1269349,503.8048397,0.6201031405,17.77789456,15.64616588,0.0003117601152,0.12101304,
209,100,86,69,109,39940,510,503.1543187,18.41595606,11.44066631,7.318123772,0.00002716477714,0.12858372,
210,100,84.8,69.9,115,40055,509.7111755,505.1150346,6.725548401,6.289906403,8.141517224,0.00002830507734,0.13080402,
211,100,82.9,70.5,121,39940,510,505.3398947,10.33770878,26.80738694,10.82138867,0.0004177440826,0.11867808,
212,100,85.5,69.5,127,39990.91544,510,501.700025,16.46870303,3.470585483,8.928251812,0.0001266433913,0.13196988,
213,100,83,69.3,133,40055,510,510,9.215975109,14.46626067,7.973465899,0.00003250913661,0.1265436,
214,100,81.9,70.6,139,40055,510,508.2611009,17.17738259,16.14333696,19.37022737,0.0002151690706,0,
215,100,79.7,69.5,145,40055,510,504.3322614,4.581791675,4.103149286,2.807833574,0.0000499918871,0.13487472,
216,100,82,70.7,151,40055,508.5638338,506.755925,18.98840838,11.60458189,8.20098619,0.00001538264192,0.12803382,
217,100,81,69.9,157,39940,510,503.3828465,11.60816376,12.68206112,10.39931884,0.00007630072502,0.12623664,
218,100,80,70,163,40055,510,507.4123248,13.91173553,10.94285057,3.811915678,0.00001882093473,0.1306194,
219,100,77.8,69.2,169,40055,510,506.1898594,14.9006707,21.62645125,10.46119654,0.0002048932431,0.1215552,
220,100,75.3,70.4,175,40055,510,506.1306342,6.626027155,3.260666196,10.80953521,0.00009023515479,0.1309761,
221,100,80.8,69.8,1,40055,506.5154064,506.8357085,11.41926047,15.85103671,11.55334927,0.0001462758539,0.12398604,
222,100,83,69.5,7,39940,510,503.9972592,5.536715105,12.34335807,8.303838041,0.00003294540163,0.1274985,
223,100,81.7,70.2,13,40055,507.431079,510,11.48954746,20.16351973,10.99404065,0.0002178652922,0.1220187,
224,100,81.5,71,19,40055,510,507.4653568,2.675419298,12.62439467,14.5923298,0.00007747864404,0.12410448,
225,100,80.8,70.7,25,40055,505.707097,505.5341706,11.72814078,9.039541086,13.53415308,0.0001005299654,0.12649986,
226,100,82.1,70.5,31,40055,510,504.1071411,18.96909082,10.71695979,21.2110369,0.0003910135075,0,
227,100,83.4,70.8,37,40010.73539,510,504.492175,10.92195085,1.117049835,16.28868438,0.0002907525891,0.1293099,
228,100,81,69.7,43,39940,508.1578493,504.8121362,6.74591732,2.23990781,6.491938996,0.00005138648778,0.13388004,
229,100,83.2,70.9,49,39940,505.5308713,504.8568355,8.659679503,10.52360977,20.09516154,0.0003438274741,0.12241812,
230,100,81.1,70,55,40055,505.4611302,505.8970771,9.967601381,10.2729111,9.385152054,0.00004751568618,0.12802752,
231,100,78.9,70.1,61,40055,507.0129994,506.6447088,11.75810185,15.38896187,3.596903245,0.0001063173748,0.12832164,
232,100,79,70.9,67,40055,510,510,7.356906461,13.34631666,10.41886428,0.000015637265,0.12587322,
233,100,79.5,70.1,73,40055,510,502.2076429,11.66283698,23.17787388,1.190626684,0.0002333121822,0.12531078,
234,100,79.5,69.1,79,40055,506.4545928,505.4801921,8.17701866,30.63863547,17.35638552,0.0009683392711,0.1137333,
235,100,80.5,69.1,85,40055,510,510,11.93978606,-1.117652718,7.061832579,0.0001766996609,0.13540356,
236,100,79.3,70.8,91,40055,510,505.855518,-1.285925247,15.30767069,17.74043256,0.0002265567713,0.12121698,
237,100,79,70.7,97,39940,510,510,11.3454955,21.03382252,0.6367697305,0.0002802808815,0.12674994,
238,100,78.3,69.5,103,39940,510,507.3583735,-3.92440339,13.14531113,16.40682387,0.0001230116798,0.12297744,
239,100,79.3,70.8,109,40055,510,510,6.123575869,-4.39673827,10.80715213,0.0002777211117,0.13506822,
240,100,80.5,69.6,115,40055,510,506.3269319,3.483470465,10.2101815,25.28868138,0.000480009067,0.11990904,
241,100,78,70.7,121,39940,510,507.0510312,10.2808264,6.208496893,5.067310535,0.00002544323209,0.13251012,
242,100,80,70.2,127,39940,510,507.9746904,9.374400231,12.8176486,13.62329929,0.00005413057019,0.1244895,
243,100,79.4,70.1,133,40055,510,510,11.64791612,14.47496654,13.16463876,0.00004044522774,0.1238808,
244,100,82.1,70,139,40003.45999,510,505.6335451,2.894939949,1.569438453,6.38457849,0.00009551795869,0.13431192,
245,100,80.9,69.7,145,39940,510,505.2365545,6.02008924,11.15135591,3.930849789,0.000004948699361,0.13042284,
