batch_id,layer_thickness_um,ambient_temp,resin_temp,resin_age,channel_1_length,channel_1_width,channel_1_height,channel_2_length,channel_2_width,channel_2_height,channel_3_length,channel_3_width,channel_3_height,channel_4_length,channel_4_width,channel_4_height,channel_1_post_print_length_delta,channel_1_post_print_width_delta,channel_1_post_print_height_delta,channel_2_post_print_length_delta,channel_2_post_print_width_delta,channel_2_post_print_height_delta,channel_3_post_print_length_delta,channel_3_post_print_width_delta,channel_3_post_print_height_delta,channel_4_post_print_length_delta,channel_4_post_print_width_delta,channel_4_post_print_height_delta,channel_1_flow_rate_ml_per_min,channel_2_flow_rate_ml_per_min,channel_3_flow_rate_ml_per_min,channel_4_flow_rate_ml_per_min,flow_rate_cv
16,100,71.88,75.13,36,18.263,0.2924,0.3593,19.022,0.2313,0.7614,17.664,0.3142,0.2822,18.165,0.4394,0.7253,-0.0384,0.0125,0.0011,-0.011,0.0108,-0.0271,-0.0206,0.005,0.0019,-0.0136,-0.0156,0.0091,0.02795,0.19905,0.01538,0.34201,0.919789
17,100,97.44,97.27,39,19.73,0.4204,0.6545,16.267,0.3375,0.2542,17.95,0.413,0.6085,15.475,0.418,0.6152,0.0436,-0.0214,0.0244,0.0307,-0.0207,-0.0244,-0.0244,-0.0092,0.0016,-0.1348,-0.0222,-0.0192,0.20213,0.01174,0.1905,0.18738,0.532816
18,100,97.25,98.73,42,18.356,0.1351,0.3435,16.668,0.3631,0.4278,19.492,0.2674,0.383,18.813,0.4097,0.2419,0.0092,-0.0028,-0.0207,0.0379,-0.0038,0.0007,-0.0216,-0.017,0.0109,-0.0027,0.035,0.0263,0.0162,0.09985,0.05075,0.01717,0.740649
19,50,97.45,97.95,44,15.592,0.2505,0.6294,19.253,0.4947,0.7175,18.185,0.3871,0.1111,15.61,0.4805,0.5089,0.1095,0.0024,-0.0256,-0.0265,-0.0175,0.0039,0.0197,0.0166,0.0072,-0.0115,0.0187,-0.0312,0.13142,0.32336,0.00105,0.14668,0.761257
20,50,91.25,87.72,46,19.996,0.4517,0.9073,18.328,0.2136,0.1261,18.251,0.4348,0.3167,15.452,0.1426,0.2287,-0.0404,0.0103,-0.0008,-0.0288,-0.0277,-0.0136,-0.021,-0.0171,0.0034,0.0348,0.0254,0.0254,0.30904,0.00098,0.01394,0.00204,1.613134
21,100,62.07,60.0,49,19.639,0.1954,0.1361,18.861,0.4398,0.2816,18.491,0.1229,0.2124,19.19,0.4204,0.5541,-0.042,0.0142,0.0058,-0.0138,0.0185,0.0096,0.0145,0.0014,-0.0119,0.0924,0.0144,0.0032,0.00182,0.03837,0.00443,0.26942,1.415906
22,100,70.83,72.84,51,19.421,0.3446,0.2652,18.548,0.1218,0.982,15.866,0.3465,0.5127,15.459,0.1169,0.8057,-0.03,-0.0225,-0.0005,-0.1151,0.0382,-0.0249,0.1038,-0.0096,0.0071,0.0563,-0.0226,-0.0015,0.01381,0.27376,0.11785,0.14764,0.670264
23,100,87.99,87.16,53,15.596,0.1594,0.4851,15.67,0.3033,0.6499,16.39,0.2616,0.6712,16.524,0.2897,0.4706,-0.1062,-0.0307,-0.031,-0.0758,-0.028,-0.001,0.0436,0.0096,0.0282,-0.0134,-0.0105,-0.0082,0.03733,0.17728,0.16555,0.06312,0.554192
24,100,78.97,81.73,54,16.581,0.3263,0.6634,18.937,0.3808,0.4246,17.746,0.3592,0.5615,17.157,0.361,0.763,-0.0263,0.0256,-0.0013,0.0683,0.0113,-0.0182,-0.0163,0.0067,0.0202,-0.0553,0.0098,0.006,0.20816,0.05528,0.12262,0.35121,0.599745
25,100,93.5,95.16,57,16.569,0.1222,0.8709,18.713,0.2122,0.435,15.073,0.2337,0.2383,19.136,0.1692,0.6408,-0.038,0.0066,-0.0196,0.0822,-0.013,-0.0098,0.0601,0.0208,0.0239,0.1287,-0.0244,-0.0006,0.08665,0.01905,0.00391,0.04133,0.827412
26,100,87.51,83.6,60,15.819,0.3564,0.6004,15.83,0.1043,0.8552,19.182,0.1836,0.9913,19.946,0.31,0.2274,0.0075,-0.015,0.01,-0.0125,-0.0097,0.0007,-0.0204,-0.0102,-0.0077,0.003,0.0143,0.0165,0.11065,0.08779,0.19992,0.00417,0.692551
27,50,66.03,63.67,61,17.932,0.1179,0.8592,17.466,0.1931,0.6738,15.421,0.2168,0.6842,16.218,0.2961,0.7032,0.0171,0.031,0.0055,0.0288,-0.0118,-0.0129,-0.1019,-0.0054,-0.0148,0.0007,-0.0048,0.0017,0.18375,0.15781,0.20981,0.29303,0.240395
28,100,79.3,80.04,64,16.703,0.3019,0.4587,17.494,0.4638,0.9256,17.657,0.3348,0.6677,15.525,0.4401,0.2598,0.0938,0.0023,-0.0141,0.0156,-0.0173,-0.0058,-0.0504,-0.0196,-0.0019,-0.0012,-0.0075,0.0023,0.01299,0.15352,0.04324,0.00375,1.11723
29,100,83.94,83.77,66,17.388,0.3812,0.9669,18.807,0.3535,0.8038,19.517,0.4927,0.8801,18.603,0.3481,0.2027,0.0475,0.0236,-0.0077,0.1539,0.001,0.0151,-0.0935,-0.0089,0.0008,0.0099,0.0142,-0.0055,0.27582,0.14379,0.27144,0.00212,0.647196
30,50,71.53,76.08,69,17.448,0.2386,0.4704,19.928,0.1495,0.8143,17.325,0.1164,0.1763,19.89,0.4109,0.5999,-0.0288,0.0014,-0.0159,0.056,-0.0166,-0.0087,-0.0176,0.0075,0.0164,-0.0072,0.0089,-0.0009,0.10221,0.28435,0.00218,0.3151,0.734138
