model_id,layer_thickness,exposure_time,printer_temp,resin_temp,resin_age,print_res_X,print_res_Y,print_res_Z,layer_offset,channel_length,channel_width,channel_diameter,channel_circumference,flow_metric,pressure_drop
19,50,5.47,29.17,23.31,5,50,75,25,0.361,17.5,191.44,124.73,256.67,766.859,489.474
20,50,6.728,25.79,26.44,5,50,75,50,0.697,7.2,245.33,141.22,382.66,767.917,471.839
21,50,6.927,28.43,27.93,5,50,75,50,0.758,5.0,261.01,94.9,786.73,765.202,500.478
22,50,5.129,24.53,24.33,5,50,50,50,0.393,19.57,111.37,239.28,690.85,783.442,523.792
23,50,6.007,26.71,26.11,5,50,50,50,0.57,13.98,151.64,174.15,777.77,755.976,520.198
24,50,6.248,22.18,23.63,5,50,75,50,0.485,11.53,205.67,131.94,518.32,720.304,496.882
25,50,6.109,29.67,25.72,5,100,50,25,0.374,14.58,235.29,147.49,310.35,764.382,494.939
26,50,5.836,25.32,24.03,5,50,75,25,0.779,10.0,187.57,156.02,551.38,732.031,506.158
27,50,5.046,27.45,27.7,5,100,100,50,0.442,8.45,125.27,182.1,499.91,740.155,491.702
28,50,6.812,23.47,24.57,5,75,100,50,0.615,17.08,280.93,167.67,714.4,765.434,505.19
29,50,6.644,26.16,23.07,5,50,100,50,0.649,18.79,221.07,236.3,303.95,781.222,508.953
30,50,5.354,22.7,26.67,5,75,75,25,0.503,6.84,173.2,164.48,518.53,752.987,513.293
31,100,5.526,28.9,24.89,20,75,100,25,0.74,11.71,114.05,248.67,332.53,436.621,500.706
32,100,6.275,24.03,27.37,20,75,50,50,0.316,12.97,269.85,224.74,428.57,477.815,498.993
33,100,6.32,26.24,26.19,20,100,100,25,0.48,5.68,278.44,115.45,655.55,438.819,491.889
34,100,5.544,22.65,23.55,20,75,100,25,0.578,19.86,128.95,238.2,511.81,496.372,495.672
35,100,5.341,28.6,26.91,20,75,100,50,0.404,13.79,185.08,99.78,456.74,448.078,499.437
36,100,6.595,24.36,25.36,20,75,50,25,0.749,10.78,238.97,218.97,466.96,384.746,504.727
37,100,6.794,29.85,23.86,20,50,75,25,0.706,9.17,267.36,144.71,502.7,448.244,509.998
38,100,5.0,25.11,25.88,20,50,50,50,0.349,15.51,117.73,229.26,681.76,444.294,496.459
39,100,5.886,26.99,24.42,20,100,75,25,0.622,18.25,170.71,227.57,740.65,462.914,518.886
40,100,6.123,23.9,27.84,20,100,75,25,0.528,7.39,224.75,217.01,775.43,448.91,498.564
41,100,6.23,28.1,24.82,20,50,100,50,0.322,18.61,241.65,214.31,682.8,431.709,502.416
42,100,5.962,24.83,27.45,20,100,75,25,0.735,6.09,193.92,131.8,423.47,398.368,493.193
43,100,5.179,26.76,24.1,20,50,50,25,0.494,12.39,144.36,93.76,628.47,427.364,478.455
44,100,6.941,22.1,25.65,20,75,50,50,0.659,13.26,300.0,148.51,490.68,408.852,509.925
45,100,6.774,27.54,27.14,20,75,75,50,0.605,15.33,202.0,109.5,390.07,416.412,508.849
46,100,5.488,23.38,25.12,20,100,100,50,0.451,10.18,154.12,198.14,712.48,447.949,499.54
47,100,5.651,29.38,26.58,20,50,100,25,0.784,8.16,107.69,138.84,271.13,469.988,501.697
48,100,6.396,25.61,23.16,20,50,50,50,0.368,16.4,263.49,245.85,745.97,444.347,507.481
49,100,6.514,29.02,27.61,20,100,100,25,0.646,11.21,161.51,188.97,503.81,400.413,486.123
50,100,5.733,25.94,24.66,20,50,75,50,0.54,14.43,209.29,219.82,600.46,443.015,496.779
51,100,5.404,27.82,25.81,20,75,75,25,0.682,19.29,255.69,102.53,612.64,459.686,510.254
52,100,6.661,23.07,23.94,20,100,50,50,0.345,5.38,100.0,226.54,742.31,419.58,489.454
53,100,6.986,26.56,24.96,20,100,75,50,0.409,6.99,198.06,236.87,600.17,430.515,503.995
54,100,5.188,22.33,27.3,20,50,50,50,0.774,17.58,245.88,162.8,587.66,428.757,488.535
55,100,5.947,28.28,23.0,20,100,75,50,0.469,16.04,295.47,183.06,286.66,413.343,505.442
56,100,6.187,24.68,26.74,20,50,50,25,0.555,9.49,139.73,210.02,535.12,447.882,501.461
57,100,6.04,27.35,23.4,20,50,100,50,0.795,12.58,123.15,109.72,332.59,425.051,485.547
58,100,5.768,23.57,26.35,20,50,75,50,0.39,11.97,272.69,165.44,655.59,444.638,513.086
59,100,5.112,29.57,25.2,20,50,75,25,0.599,6.39,219.73,147.77,531.72,408.828,493.427
60,100,6.879,25.42,27.07,20,50,50,50,0.426,19.12,165.79,104.88,624.13,422.674,495.496
61,50,6.585,28.79,26.04,35,100,50,25,0.519,17.05,137.45,142.48,272.92,530.275,503.698
62,50,5.296,24.13,23.7,35,75,75,50,0.665,8.6,287.03,91.59,296.64,500.704,511.931
63,50,5.586,26.06,28.0,35,75,50,50,0.3,9.9,230.88,84.39,643.98,558.674,491.222
64,50,6.335,22.8,24.26,35,100,75,50,0.724,14.79,176.89,102.98,289.65,499.149,501.828
65,50,6.36,27.07,27.74,35,100,100,25,0.387,19.77,142.08,243.73,289.19,519.812,506.3
66,50,5.583,23.85,24.56,35,75,50,50,0.796,5.86,291.51,173.42,256.66,531.375,507.189
67,50,5.301,29.8,25.94,35,75,75,50,0.431,10.73,251.48,244.19,776.08,478.076,503.42
68,50,6.555,25.19,23.84,35,75,100,50,0.592,13.95,197.25,153.52,655.63,467.1,498.648
69,50,6.897,28.52,25.5,35,75,100,25,0.672,15.56,105.6,133.01,444.29,471.779,494.997
70,50,5.104,24.41,26.81,35,75,75,25,0.514,9.01,254.89,166.04,413.09,543.855,501.592
71,50,5.783,26.29,23.54,35,50,50,50,0.723,7.47,211.64,154.72,442.34,495.359,490.059
72,50,6.02,22.57,26.25,35,100,75,25,0.303,18.06,157.56,97.96,676.06,579.41,474.661
73,50,6.191,29.3,23.3,35,50,100,50,0.541,5.92,180.85,188.94,613.75,497.779,505.37
74,50,5.921,25.66,26.48,35,75,75,50,0.643,18.64,228.52,116.73,351.86,514.969,510.474
75,50,5.219,27.59,25.1,35,75,50,50,0.338,13.06,287.84,185.33,345.76,553.483,477.155
76,50,6.981,23.3,27.2,35,75,100,50,0.687,12.45,131.84,190.53,304.12,559.847,491.339
77,50,6.67,26.84,25.55,35,50,75,50,0.769,10.38,166.6,105.84,613.17,560.003,508.102
78,50,5.384,22.05,24.24,35,50,50,50,0.416,15.27,214.12,90.43,670.4,543.969,522.965
79,50,5.754,28.05,27.51,35,75,100,50,0.558,16.57,276.65,212.73,395.78,537.232,501.393
80,50,6.499,24.91,24.8,35,50,50,25,0.468,8.12,120.8,158.17,261.52,527.793,493.599
81,50,6.427,28.33,26.64,35,50,100,25,0.728,14.27,222.33,89.89,295.19,528.539,499.118
82,50,5.645,24.6,23.14,35,75,75,25,0.327,11.26,174.71,249.13,782.32,501.315,516.27
83,50,5.491,26.48,27.36,35,50,50,25,0.66,5.2,112.2,89.82,412.49,489.645,494.496
84,50,6.748,22.38,24.94,35,100,100,25,0.49,19.38,268.15,198.16,673.07,512.566,494.44
85,50,6.962,27.77,24.08,35,100,50,25,0.454,17.76,233.44,247.23,593.56,508.935,497.43
86,50,5.164,23.15,25.71,35,100,50,25,0.604,6.91,185.86,120.66,460.07,499.609,491.322
87,50,5.971,29.1,24.64,35,100,75,50,0.362,9.65,126.53,104.18,363.13,531.98,502.611
88,50,6.211,25.89,27.67,35,75,50,50,0.791,15.99,282.43,100.64,316.76,532.018,517.143
89,50,6.127,26.01,24.4,35,75,100,50,0.583,11.91,259.5,131.56,588.26,513.465,504.581
90,50,5.856,22.88,27.9,35,75,100,50,0.473,12.79,110.11,97.18,676.05,549.843,501.403
91,100,5.024,28.87,23.68,45,100,100,25,0.746,19.08,153.34,197.67,604.15,200.268,500.841
92,100,6.792,24.08,26.1,45,100,100,25,0.405,6.56,207.52,90.59,541.67,229.084,485.224
93,100,6.609,29.62,26.97,45,50,75,50,0.348,8.64,299.22,166.6,273.07,216.859,509.225
94,100,5.32,25.34,25.34,45,50,50,50,0.709,16.88,149.88,249.44,782.67,182.702,503.629
95,100,5.562,27.27,26.41,45,100,75,25,0.535,14.86,189.94,218.37,689.29,229.908,500.892
96,100,6.312,23.62,23.38,45,100,50,50,0.617,9.7,244.07,184.59,411.05,227.701,532.748
97,100,6.294,29.95,25.19,45,100,50,50,0.78,17.97,203.25,132.06,788.98,266.136,506.475
98,100,5.516,25.04,27.11,45,100,50,50,0.371,7.67,155.62,186.06,581.03,250.205,493.914
99,100,5.37,27.22,23.21,45,50,75,50,0.608,8.99,105.84,169.6,570.33,205.275,498.159
100,100,6.623,23.7,26.57,45,100,50,25,0.447,15.71,261.78,152.43,661.44,279.647,513.469
